Date,tdr_soil_moisture,smap_soil_moisture,diff_smap_minus_tdr,abs_diff
2024-11-22,0.5270483619085593,0.2665792144834995,-0.2604691474250598,0.2604691474250598
2024-11-26,0.5277868055555556,0.2652306035161018,-0.2625562020394538,0.2625562020394538
2024-11-25,0.5302236111111112,0.2660305872559547,-0.2641930238551565,0.2641930238551565
2024-11-27,0.5281788194444446,0.2632927745580673,-0.26488604488637724,0.26488604488637724
2024-11-24,0.5326465277777777,0.26711220666766167,-0.265534321110116,0.265534321110116
2024-11-23,0.5352979166666667,0.2697443291544914,-0.2655535875121753,0.2655535875121753
2024-12-02,0.5225303819444445,0.25636252015829086,-0.2661678617861536,0.2661678617861536
2024-11-28,0.530653125,0.2640913724899292,-0.26656175251007075,0.26656175251007075
2024-11-29,0.5369086805555555,0.26432114467024803,-0.2725875358853075,0.2725875358853075
2024-11-20,0.5368406238924331,0.26327213644981384,-0.2735684874426193,0.2735684874426193
